review_length,rating,num_exclamation_marks,contains_question_mark,uppercase_ratio,helpful_votes,is_helpful
1285,5,2,1,0.04925130796,40,1
1253,5,7,1,0.02738163149,119,1
1240,5,1,1,0.03165467626,77,1
1223,5,1,0,0.01803979914,866,1
1193,5,0,0,0.02999602702,21,1
1189,5,4,1,0.03569361374,3,1
929,5,0,0,0.05482851986,3,1
896,5,3,1,0.03348325837,14,1
864,1,0,0,0.03326755004,6,1
864,1,0,0,0.03326755004,7,1
826,5,1,0,0.03188327479,12,1
803,4,7,0,0.06088864509,5,1
779,5,5,0,0.04903334267,11,1
776,3,1,1,0.02662178703,4,1
755,5,2,0,0.02988505747,1,0
741,5,10,1,0.03370429253,6,1
733,4,1,0,0.02478607259,21,1
722,5,3,0,0.02595094205,1,0
673,1,8,1,0.03519061584,111,1
651,5,0,0,0.02654558156,6,1
650,4,1,1,0.07882310207,2,0
634,5,3,0,0.05615470435,3,1
632,1,0,1,0.0258684405,56,1
629,1,0,0,0.01685191825,11,1
628,5,7,0,0.033358605,7,1
615,4,4,0,0.05229253505,4,1
598,1,4,0,0.03180339718,130,1
595,3,4,1,0.04231717338,6,1
583,1,28,1,0.1001980198,3,1
569,5,2,0,0.04036243822,2,0
556,5,4,1,0.03944223108,6,1
540,1,2,1,0.02503236944,20,1
538,5,8,0,0.03390617743,25,1
537,5,0,1,0.02903651562,16,1
536,4,1,1,0.0274270788,3,1
536,5,2,1,0.07682566484,3,1
534,5,11,1,0.02916666667,58,1
531,5,0,1,0.03462050599,3,1
528,5,7,0,0.02206213417,11,1
516,5,0,1,0.04504094631,0,0
516,5,0,1,0.04504094631,0,0
507,5,1,0,0.02579456472,1,0
506,1,0,0,0.02614379085,5,1
501,3,0,1,0.02245508982,3,1
501,5,5,0,0.07411067194,0,0
500,5,0,1,0.03352649007,17,1
496,5,0,0,0.06233062331,3,1
493,5,0,0,0.02737680438,10,1
488,1,7,1,0.09346504559,4,1
488,5,7,0,0.03754439371,4,1
488,5,0,0,0.02224325603,3,1
487,2,2,1,0.06109725686,1,0
479,1,0,1,0.02469135802,16,1
476,2,1,0,0.02954431647,6,1
472,3,0,1,0.0269374223,91,1
469,2,0,0,0.08537194209,3,1
465,4,2,0,0.01574375679,0,0
463,3,2,0,0.02832244009,14,1
460,4,0,0,0.03550295858,9,1
460,5,0,0,0.03469387755,33,1
457,5,4,1,0.06481481481,9,1
453,4,0,0,0.01407035176,1,0
451,2,0,0,0.0156841536,3,1
451,5,0,0,0.05885286783,17,1
451,5,3,0,0.01210787012,2,0
446,5,2,1,0.03816371681,7,1
445,5,4,0,0.02699841186,16,1
444,5,7,0,0.04053333333,9,1
443,5,1,0,0.04577056779,3,1
438,1,25,1,0.2734852696,15,1
434,1,0,1,0.05409836066,14,1
434,5,0,0,0.03108041441,6,1
431,4,0,0,0.02792696026,5,1
430,5,5,0,0.03627232143,1,0
426,5,1,0,0.03354978355,2,0
425,3,2,0,0.05633802817,0,0
425,5,6,1,0.06246385194,3,1
419,4,0,1,0.02010338886,9,1
418,4,1,0,0.03397773872,3,1
416,5,0,0,0.02968664101,6,1
416,5,1,1,0.05798045603,2,0
415,3,0,1,0.03556851312,3,1
414,4,4,0,0.04522924411,13,1
412,3,0,0,0.02653867871,0,0
411,5,0,0,0.07177263969,0,0
408,3,0,0,0.02063185042,2,0
408,5,1,0,0.02299495233,0,0
406,1,2,0,0.03896882494,5,1
405,3,0,1,0.04731457801,1,0
405,4,1,1,0.08825151682,73,1
405,5,1,1,0.03629032258,3,1
405,5,2,0,0.01834862385,71,1
404,5,3,1,0.0241745283,9,1
400,5,10,1,0.06298701299,7,1
398,3,0,1,0.02901234568,4,1
397,2,3,0,0.03549190535,7,1
396,5,4,0,0.02707275804,21,1
395,3,0,0,0.03473491773,71,1
393,2,0,0,0.01523140012,0,0
392,5,5,0,0.06047103756,4,1
388,4,0,0,0.02002164502,6,1
385,5,0,0,0.01321585903,13,1
383,5,4,1,0.07203907204,13,1
382,5,0,0,0.02236024845,16,1
381,4,0,0,0.02419354839,1,0
379,5,2,0,0.03710462287,4,1
377,5,0,0,0.02701149425,0,0
376,4,0,0,0.02476572959,0,0
374,5,3,1,0.05904059041,219,1
374,5,3,1,0.05904059041,37,1
374,5,0,0,0.02117061021,5,1
373,3,0,1,0.02771362587,1,0
373,5,2,0,0.03261623872,1,0
371,5,8,0,0.03886310905,18,1
369,4,1,0,0.02966625464,5,1
369,4,0,0,0.03497409326,0,0
369,5,5,1,0.04323656578,3,1
367,5,1,1,0.05383153895,15,1
363,4,7,0,0.04166666667,9,1
362,5,0,0,0.02993197279,88,1
361,2,0,0,0.02074966533,1,0
360,3,0,0,0.02376364804,7,1
360,5,0,0,0.02328675981,7,1
355,1,1,0,0.03827160494,31,1
355,4,1,0,0.02529411765,3,1
355,4,1,0,0.02529411765,3,1
354,2,2,1,0.03217158177,25,1
353,5,0,0,0.02457865169,10,1
352,1,0,0,0.02283950617,8,1
352,5,0,0,0.01843657817,0,0
351,3,0,1,0.01737451737,1,0
351,4,1,0,0.01599443672,28,1
348,5,0,0,0.02149837134,63,1
348,5,2,0,0.0207253886,6,1
346,3,2,0,0.01659451659,1,0
345,5,1,0,0.02507374631,13,1
344,5,1,0,0.03688799463,0,0
342,5,0,0,0.03094339623,3,1
342,5,2,0,0.01506221349,9,1
341,2,0,1,0.02407152682,13,1
341,2,0,1,0.02407152682,3,1
341,5,0,0,0.03283369022,6,1
340,3,0,0,0.0390625,2,0
340,5,4,1,0.05847520355,12,1
339,4,0,0,0.02320675105,3,1
338,5,1,0,0.04037267081,0,0
337,5,2,1,0.03890006707,12,1
337,5,0,0,0.01826150475,20,1
335,4,0,1,0.03041274439,3,1
335,4,0,0,0.0223880597,0,0
330,3,5,1,0.03566121842,2,0
330,4,0,1,0.02373316228,4,1
330,4,0,1,0.02373316228,4,1
330,5,0,1,0.03973063973,10,1
330,5,2,0,0.02290536468,4,1
329,5,3,0,0.02064896755,3,1
329,5,0,0,0.01729323308,3,1
328,4,0,0,0.02521008403,10,1
326,5,0,0,0.0765370138,3,1
325,5,1,0,0.03259259259,26,1
323,3,0,0,0.04148148148,11,1
323,3,0,0,0.04148148148,11,1
323,4,1,0,0.01823708207,0,0
323,5,1,0,0.02139461173,1,0
321,3,0,0,0.037470726,4,1
320,4,1,0,0.02503477051,29,1
320,4,5,1,0.02382843527,4,1
320,4,5,1,0.02382843527,4,1
319,5,0,1,0.02954545455,6,1
319,5,0,0,0.02403846154,9,1
319,5,0,0,0.02677279305,4,1
318,1,2,0,0.06886045094,4,1
318,2,0,0,0.03293413174,3,1
316,1,1,0,0.02614840989,9,1
316,2,0,0,0.04054054054,9,1
316,5,2,0,0.04964539007,4,1
316,5,1,0,0.01587301587,0,0
314,5,3,0,0.02251270879,1,0
314,5,1,0,0.02408702409,4,1
312,1,0,1,0.05118411001,2,0
312,5,1,0,0.02028549962,4,1
311,4,1,0,0.01491477273,1,0
310,4,0,0,0.01904761905,5,1
310,5,0,1,0.03360116874,9,1
309,3,2,0,0.0283793876,1,0
309,5,2,0,0.03064861012,8,1
307,5,5,0,0.04855842185,26,1
303,5,0,0,0.02979066023,16,1
303,5,12,0,0.05150554675,10,1
302,3,0,0,0.01876465989,0,0
302,5,1,1,0.01791277259,14,1
301,5,1,0,0.02780117944,0,0
301,5,0,0,0.01419698314,0,0
299,2,0,0,0.03767123288,8,1
298,5,0,0,0.03315343099,2,0
297,4,0,0,0.02716468591,3,1
296,4,3,0,0.02613240418,6,1
295,1,0,1,0.01910360029,3,1
294,1,0,0,0.03896103896,5,1
292,5,3,0,0.03740875912,0,0
291,1,0,1,0.02356637863,2,0
290,1,1,0,0.03273322422,4,1
289,5,2,0,0.03261734288,4,1
289,5,3,1,0.01354581673,7,1
289,5,0,0,0.01977848101,0,0
288,5,1,0,0.05783738474,69,1
288,5,1,0,0.05783738474,27,1
287,4,0,0,0.03173241852,3,1
284,4,0,1,0.03119584055,0,0
284,4,1,0,0.01829268293,5,1
283,1,1,0,0.02919708029,20,1
283,5,0,1,0.05503875969,2,0
282,1,0,0,0.04311073542,3,1
282,1,0,0,0.03554868624,10,1
281,5,0,0,0.02584670232,0,0
278,5,3,0,0.0258780037,30,1
277,4,0,0,0.02477291495,0,0
277,5,3,0,0.0252173913,3,1
276,1,0,0,0.03690685413,3,1
276,1,1,0,0.04079933389,4,1
276,2,1,0,0.05263157895,1,0
276,5,2,0,0.03195488722,5,1
